Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	X	MT
CTR_1	0.08616078074704411	0.07476325314949592	0.05628339054957313	0.036150239683551535	0.055755647147746105	0.05598327113595392	0.05540037426707039	0.04523231386632361	0.05256895445203661	0.03282138175461189	0.05984049798511896	0.06789833971455568	0.015867352654719495	0.09599625948625613	0.027308084160955287	0.03277783273232519	0.04892886876550666	0.009311121764576186	0.019770673738964614	0.02089889323362944	0.010882963221286884	0.014324738005932761	0.018953725141089988	0.005542567540780456
CTR_2	0.08244849893830251	0.06905186453005724	0.054733095902407006	0.033172181579861806	0.05300462498951182	0.0543895011249627	0.05275734337122618	0.0439522967032192	0.05113558828787638	0.030525562958435483	0.05500460324061818	0.06138962550881973	0.015081253701528421	0.11627104792231899	0.02579095619199612	0.031827241319614355	0.0688570916289617	0.00858526961586854	0.020192951372280884	0.02088936415646928	0.010723171707680433	0.014330751749093441	0.01811022353451555	0.0070869076590333
CTR_3	0.09066957391416403	0.07874437868260235	0.05214930100906699	0.038447801567328105	0.05829052705183011	0.04927648349743455	0.06021570251848147	0.04857553681435374	0.046353277665097455	0.03380268162982621	0.06194552258776651	0.06503131310816904	0.016270230148227798	0.06808106316867772	0.02720981518613214	0.03982819754339734	0.058201609356601174	0.00922782180025196	0.02029597635960561	0.022421167838274428	0.01340500138610584	0.013942972963139979	0.019401626369064704	0.007061050806580369
CTR_4	0.08657935180947618	0.07589688889601165	0.05212816988644528	0.034166216081598116	0.053405735630737444	0.04922059861857812	0.05071515544775104	0.04354124624454267	0.055437283930876824	0.029108948828894653	0.05920136900158059	0.07003853936498738	0.01431631235716423	0.09757259549201248	0.024046263628415106	0.04035706370177139	0.05571466919832038	0.008468297902990142	0.01966924475993392	0.019101862699551213	0.020199110946640227	0.012211598997561286	0.018069538767829373	0.007607162909403354
CTR_5	0.08767514972237914	0.07773748495896257	0.056986831771644	0.03903037201955227	0.05991392399513276	0.0530231541155739	0.057750228388397495	0.04747127494410958	0.04689701870595295	0.0334803047781115	0.05694504974169502	0.06269118216360484	0.016781629440683933	0.08849518260729447	0.02752153070700236	0.03205894434409362	0.05775387018834582	0.009540206251815182	0.0187250768801012	0.020354952786037057	0.010153140917009173	0.013270844590995099	0.019620385590549346	0.005415177124143058
CTR_6	0.09053709950294386	0.07855611569931877	0.05342498994008726	0.03874208617377099	0.058537418137354275	0.04890746301691792	0.06107705960849426	0.04814603169016349	0.04428927351015992	0.034257175704456175	0.05964259135229933	0.06114119260984765	0.0166890695029134	0.07350485921706297	0.027433335521864954	0.037416275974288586	0.06359616244364671	0.009194751788363126	0.019503116457746505	0.022688910608749096	0.011368759004425685	0.014048701992048862	0.019396298628975187	0.0073251859603214705
GEM_50_TAX_10_1	0.08762994977093702	0.07637902054593132	0.05620402700679485	0.03590366904761826	0.056824207526422574	0.052182733438989506	0.05740798778125305	0.04680373201053597	0.0461833863687393	0.033983371610486784	0.05883205640690711	0.0618319409314703	0.015549206057752616	0.09246646983370253	0.02793377236015611	0.03511412822338197	0.05756821132584699	0.009712229120292563	0.019937584554017312	0.021561799595333265	0.01041599815121881	0.014142365178391203	0.01907775672653593	0.005968927897350079
GEM_50_TAX_10_2	0.0861567163999422	0.07392677401576138	0.05726246317116343	0.033765799193731794	0.05349939026426007	0.04904057187463878	0.05688460667549207	0.045892897566670414	0.04900276095038966	0.03332691897377799	0.059359623257612314	0.062211514613545765	0.014879593716351168	0.1006878733504522	0.027175146514471435	0.037763546192616716	0.056937587729917694	0.009107178270678005	0.020595409837335633	0.022024176967959705	0.01045895073849814	0.014417777387619459	0.018155796433443866	0.006987904167738923
GEM_50_TAX_10_3	0.08882826168807556	0.07757081902079088	0.05541884351127286	0.03621375386461544	0.05793224816482008	0.05206396613502891	0.059561220687017226	0.04844565800119768	0.046466218914802	0.03472737619703834	0.059298460123012695	0.06483568886271858	0.015383310741107659	0.07724952821722743	0.028094202231271025	0.037598574864622016	0.05443555782646928	0.009894447638289196	0.020618483233074608	0.023246334610766983	0.011862672152067103	0.014612990237111363	0.019106280772776093	0.005922567709992761
GEM_50_TAX_10_5	0.08900638387479719	0.07947962886384967	0.05723636414815532	0.03798159204579434	0.05960014995062674	0.057919992061156764	0.0580749521743139	0.04698569064059762	0.0457592968016934	0.03457750289745116	0.05740892902786265	0.06293947359601092	0.015392744331438118	0.08195495923053335	0.028482890158780444	0.03333803668446903	0.05073319201015542	0.010488791095232364	0.0204884893333125	0.021934274822571743	0.01115185625922804	0.014309788786932587	0.019299762061322556	0.004913614388580852
GEM_50_TAX_10_6	0.08495660894556338	0.07347104207287387	0.056300873448528535	0.0342490329820659	0.055895943274953556	0.053040433022806296	0.05600295905136774	0.046012327227919946	0.050902553533900954	0.032827141346124016	0.05681355587553909	0.06593059376344838	0.015425492328751483	0.09788127080205312	0.02667283721106425	0.03424916517024922	0.057202415742827056	0.009325574189116611	0.02022845554971221	0.022006499919582374	0.01145714641327476	0.014241445002662553	0.018316334593898732	0.006038545054519977
SIM_1	0.08355840331702005	0.0733632732584077	0.05713738391179641	0.034987243389442126	0.05552025468007682	0.051478301089893416	0.05669246374871744	0.046349985415826626	0.05152284303725943	0.032507908089594154	0.0593032210370636	0.06178705013214254	0.015436427664884707	0.10442702018865917	0.026341818416478504	0.03465647595579366	0.0557228025999894	0.008932804038864752	0.018709993923390227	0.020590982970874888	0.01041327712978647	0.01362258728177093	0.018636595267950976	0.007789417243084863
