Sample	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
CTR_1	0.00025814546016941195	0.008587334378555925	0.00215654260530907	2.512920408728789e-05	4.5689461976887074e-06	0.0006739195641590843	2.2844730988443537e-06	6.853419296533061e-06	2.7413677186132243e-05	6.510748331706408e-05	0.00031982623383820953	9.137892395377415e-06	0.0001028012894479959	2.2844730988443537e-06	2.627144063671007e-05	2.2844730988443537e-06	2.2844730988443537e-06	7.995655845955237e-06	4.340498887804272e-05	2.2844730988443537e-06	2.2844730988443537e-06	4.5689461976887074e-06	0.0	1.8275785208260226e-05	3.4267097265487923e-06	9.937458206991497e-05	1.713354863274396e-05	1.2564602330678905e-05	1.5991312057227697e-05	2.9698151641869166e-05	0.0	4.3404990861193395e-05	5.825406668212798e-05	2.9698151641869166e-05	0.0	0.0	0.0	2.9698151641869166e-05	3.0840388243479517e-05	2.6271441837038107e-05	0.0	3.426709804831058e-06	0.00015762865102222866	1.2564602617713878e-05	0.0	0.0	5.025841104492548e-05	0.0	3.1982773895221323e-05	0.0	5.712274862967667e-06	0.0	2.294042498949587e-06	1.5869719273089216e-05	0.0
CTR_2	0.0002789991246275647	0.008408019074003428	0.0022015567288793288	2.2827201105891658e-05	5.072711356864813e-06	0.0007330067910669654	2.5363556784324064e-06	1.0145422713729626e-05	3.550897949805369e-05	8.369973738826941e-05	0.000324653526839348	1.268177839216203e-05	0.00010018604929808006	2.5363556784324064e-06	2.2827201105891658e-05	2.5363556784324064e-06	2.5363556784324064e-06	8.877244874513423e-06	4.692258005099952e-05	2.5363556784324064e-06	2.5363556784324064e-06	7.609067035297219e-06	0.0	1.0145422971053637e-05	1.2681778713817047e-06	0.00010145422971053637	1.2681778713817046e-05	1.2681778713817046e-05	8.877245099671932e-06	2.6631735299015797e-05	0.0	4.311804762697796e-05	4.819075911250478e-05	3.170444678454262e-05	0.0	0.0	2.5363557427634093e-06	2.9168091041779207e-05	3.0436268913160916e-05	2.7899913170397502e-05	0.0	0.0	0.00017754490199343865	8.877245099671932e-06	0.0	0.0	3.9313515508528756e-05	0.0	2.536366904241814e-05	0.0	5.073667946216126e-06	0.0	3.8198450551157165e-06	1.3547787952407378e-05	0.0
CTR_3	0.0002547567242280657	0.008664250967558471	0.002242363641967826	2.0178750433906194e-05	1.5134062825429645e-05	0.0006104072006256623	7.567031412714823e-06	1.0089375216953097e-05	5.044687608476548e-05	8.702086124622045e-05	0.00032412117884461823	1.261171902119137e-05	8.449851744198218e-05	5.0446876084765485e-06	3.5312813259335834e-05	5.0446876084765485e-06	5.0446876084765485e-06	1.8917578531787057e-05	3.152929755297843e-05	5.0446876084765485e-06	5.0446876084765485e-06	7.567031412714823e-06	0.0	1.5134063588895876e-05	2.522343931482646e-06	9.33267254648579e-05	2.143992341760249e-05	1.5134063588895876e-05	1.2611719657413228e-05	3.27904711092744e-05	0.0	5.044687990209673e-05	5.1708051899649156e-05	3.152929993881046e-05	0.0	0.0	3.7835159926572546e-06	3.531281593146771e-05	2.900695594370562e-05	2.900695594370562e-05	0.0	3.7835159926572546e-06	0.0001513406397062902	8.828203982866928e-06	0.0	0.0	5.170805255177663e-05	0.0	3.7835367017941984e-05	0.0	1.0091399953804093e-05	0.0	0.0	2.4214699145681198e-05	0.0
CTR_4	0.0001770970274407536	0.008661001923082261	0.002175421593833041	2.8718436882284373e-05	9.572812294094791e-06	0.000672490063660159	0.0	7.179609220571093e-06	5.0257264543997646e-05	7.538589681599648e-05	0.0003206892118521755	9.572812294094791e-06	9.692472447770975e-05	0.0	2.273542919847513e-05	0.0	0.0	5.9830076838092444e-06	3.230824149256992e-05	0.0	0.0	5.9830076838092444e-06	0.0	1.1966015367618489e-05	2.393203073523698e-06	0.00011128394291885194	7.179609220571093e-06	8.376210757332941e-06	1.4359218612964815e-05	2.0342226611782222e-05	0.0	4.906066418135713e-05	5.50436720083519e-05	3.350484383117072e-05	0.0	0.0	0.0	2.2735429742580133e-05	3.350484383117072e-05	2.8718437569574905e-05	0.0	1.1966015653989542e-06	0.00017231062541744942	9.572812523191633e-06	0.0	0.0	4.307765790076614e-05	0.0	2.393213927035622e-05	0.0	5.984025261586579e-06	0.0	0.0	1.529800240979233e-05	0.0
CTR_5	0.00021513691941827737	0.008468398385597325	0.002322717183099986	2.6654131609344102e-05	9.519332717622892e-06	0.0006815842225817992	0.0	3.8077330870491574e-06	3.046186469639326e-05	8.472206118684375e-05	0.0003208015125838915	1.0471265989385183e-05	0.00010280879335032724	0.0	3.522153105520471e-05	0.0	0.0	1.1423199261147473e-05	3.4269597783442416e-05	0.0	0.0	3.8077330870491574e-06	0.0	1.0471265989385183e-05	1.9038665435245787e-06	0.00011708779242676159	2.3798331794057234e-05	1.9990598707008073e-05	1.1423199261147473e-05	3.522153105520471e-05	0.0	6.092372939278652e-05	6.568339575159796e-05	3.7125397598729285e-05	0.0	0.0	4.759666358811446e-06	4.093313068577844e-05	4.2836997229303015e-05	3.522153105520471e-05	0.0	1.9038665435245787e-06	0.0001865789212654087	7.615466174098315e-06	0.0	0.0	6.6635330292008e-05	0.0	3.8077560678354034e-05	0.0	8.569129596374e-06	0.0	9.55901473782127e-07	2.440228062494607e-05	0.0
CTR_6	0.0001999706651728568	0.0084770173279798	0.002427904706500881	2.6083130239937847e-05	2.173594186661487e-06	0.0006738141978650609	0.0	4.347188373322974e-06	3.4777506986583794e-05	7.064181106649834e-05	0.0002673520849593629	5.4339854666537176e-06	6.846821687983684e-05	0.0	2.934352151993008e-05	0.0	0.0	5.4339854666537176e-06	3.2603912799922304e-05	0.0	0.0	5.4339854666537176e-06	0.0	1.521515930663041e-05	5.4339854666537176e-06	9.455134711977469e-05	2.064914477328413e-05	1.6301956399961152e-05	1.7388753493291897e-05	2.6083130239937847e-05	0.0	4.129828954656826e-05	5.651344885319866e-05	3.4777506986583794e-05	0.0	0.0	0.0	3.151711570659156e-05	3.1517116391645775e-05	3.043031927469247e-05	0.0	0.0	0.0001325892482683029	1.304156540343963e-05	0.0	0.0	4.890587132591381e-05	0.0	2.9343690859217504e-05	0.0	5.435071789960999e-06	0.0	1.091290213103115e-06	2.086749540378922e-05	0.0
GEM_50_TAX_10_1	0.00025336515374450896	0.008347912621152413	0.0023347129722827344	3.7535578332519846e-05	7.507115666503968e-06	0.0005611568960711716	0.0	9.383894583129962e-06	2.8151683749389883e-05	8.070149341491766e-05	0.00035001926795074755	9.383894583129962e-06	0.00010697639824768155	0.0	3.0028462666015872e-05	0.0	0.0	6.5687262081909726e-06	4.035074670745883e-05	0.0	0.0	1.876778916625992e-06	0.0	7.507115666503968e-06	2.815168374938988e-06	0.00010322284041442956	2.0644568082885912e-05	1.689101024963393e-05	6.568726269831208e-06	2.815168507025211e-05	0.0	4.4104307851672224e-05	5.254981361050307e-05	2.81516858627695e-05	0.0	0.0	1.8767790575179667e-06	3.1905243977805434e-05	2.25213486902156e-05	2.1582959161456617e-05	0.0	0.0	0.0001642181675328221	4.691947643794917e-06	0.0	0.0	3.6597193338721506e-05	0.0	3.190541852631856e-05	0.0	8.447180680239071e-06	0.0	9.423524732596648e-07	1.6056247443230755e-05	0.0
GEM_50_TAX_10_2	0.0002610174623958945	0.008338397210942889	0.002283347439661107	3.0266918511864364e-05	1.4439263877219695e-05	0.0006839212871075405	3.0544596663349356e-06	9.163378999004808e-06	3.943029751086917e-05	9.566012318658049e-05	0.0003648690910512823	1.332855127127972e-05	9.871458285291542e-05	3.0544596663349356e-06	2.5129872709391972e-05	3.0544596663349356e-06	3.0544596663349356e-06	1.0829447907914772e-05	4.873251558561648e-05	3.33213781781993e-06	3.33213781781993e-06	7.2196319386098475e-06	0.0	9.163379317063586e-06	9.718735666296671e-07	0.00010371279361147406	1.5133459844244543e-05	1.6105333412223553e-05	9.99641385594872e-06	2.4574517566469106e-05	0.0	4.859367920855458e-05	5.373072544551456e-05	2.790665585154632e-05	0.0	0.0	1.2495517545468502e-06	3.10999548661905e-05	3.2488345708431145e-05	2.63794260025723e-05	0.0	1.2495517580165828e-06	0.00015744352151008943	6.664276042755108e-06	0.0	0.0	4.581689887534133e-05	0.0	2.7629136225912948e-05	0.0	6.804490596073182e-06	0.0	1.5337488708924249e-06	1.7532365861726034e-05	0.0
GEM_50_TAX_10_3	0.00020457737882520504	0.00838989619899455	0.0022525748342383995	2.8907673094865932e-05	6.671001483430601e-06	0.0006070611349921846	4.447334322287067e-06	6.671001483430601e-06	3.3355007417153e-05	7.33810163177366e-05	0.00027795839514294167	7.782835064002367e-06	7.67165170594519e-05	2.2236671611435333e-06	3.7802341739440065e-05	2.2236671611435333e-06	2.2236671611435333e-06	1.66775037085765e-05	4.3361509642298897e-05	2.2236671611435333e-06	2.2236671611435333e-06	6.671001483430601e-06	0.0	7.78283523706672e-06	0.0	0.00011563069495070553	2.223667210590491e-05	2.1124838500609664e-05	8.894668842361963e-06	3.446684176415261e-05	0.0	5.003251223828605e-05	6.003901468594325e-05	3.669050979061793e-05	0.0	0.0	5.559168150093627e-06	4.1137844310692835e-05	3.0019508010505585e-05	3.0019508010505585e-05	0.0	1.1118336300187253e-06	0.00016899871176284624	6.6710017801123516e-06	0.0	0.0	5.1144347549501416e-05	0.0	3.557886406004271e-05	0.0	1.1120596361996985e-05	0.0	1.116558789036612e-06	2.2570214005423624e-05	0.0
