Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_tags_kb	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_tags_kb	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct	tss_up_5kb-10kb_total_bases	tss_up_1kb-5kb_total_bases	tss_up_5kb-10kb_tag_count	tss_up_1kb-5kb_tag_count	tes_down_5kb-10kb_total_bases	tes_down_1kb-5kb_total_bases	tes_down_5kb-10kb_tag_count	tes_down_1kb-5kb_tag_count
GEM_50_TAX_10_6	24480005	27370237	26350361	99762973	8520766	85.41	5453418	150002	27.51	26900914	1815392	67.48	1506563580	15231863	10.11	33920391	39354	1.16	0.87	0.79	35777780	96812	2.71	1.9	1.54	1019876	31.131502441867788	0.5480478667393344	6.632722982997919	55.65119147488565	0.14378392119878247	0.4785380557720417	0.777271311169136	0.3537126843293319	1.0738050971206423	1.5330411643859716	3.7262227579541967	118193059	116769441	81764	91623	117175066	118821786	125694	197091
SIM_1	26823439	29742214	28587441	99762973	8571191	85.92	5453418	159032	29.16	26900914	1837525	68.31	1506563580	17302263	11.48	33920391	42590	1.26	0.98	0.91	35777780	105876	2.96	2.13	1.74	1154773	28.818268202898413	0.5347012835022974	6.178171537599723	58.17409221788263	0.14319714060291544	0.497686554202051	0.8234558462930835	0.3559788790437726	1.1054187156342832	1.588704862388523	3.8826060494353243	118193059	116769441	96891	105433	117175066	118821786	143740	222900
SIM_2	26731922	29463951	28326079	99762973	8142194	81.62	5453418	152928	28.04	26900914	1665479	61.91	1506563580	17643450	11.71	33920391	41570	1.23	0.98	0.91	35777780	106067	2.96	2.15	1.76	1137872	27.63442689678652	0.5190342598655557	5.652599001403444	59.881480253615685	0.1410876633619164	0.5028483790242524	0.8312428974647698	0.3599890591726819	1.127859600363848	1.6193042134776834	3.8619124773863494	118193059	116769441	96758	106589	117175066	118821786	144799	226245
SIM_3	25262446	28154286	27072359	99762973	8483148	85.03	5453418	153422	28.13	26900914	1847899	68.69	1506563580	15917566	10.57	33920391	39193	1.16	0.89	0.83	35777780	102160	2.86	2.04	1.65	1081927	30.130929265973926	0.5449330165929266	6.563473142242001	56.53691945872824	0.13920793445090385	0.47641414170474794	0.788192604138496	0.3628577190698425	1.1185046568042962	1.5927024396924858	3.8428500726319252	118193059	116769441	87779	94938	117175066	118821786	133507	212747
SIM_4	25457382	28016908	26944049	99762973	7540130	75.58	5453418	138638	25.42	26900914	1579373	58.71	1506563580	16992011	11.28	33920391	38316	1.13	0.92	0.85	35777780	103383	2.89	2.1	1.71	1072859	26.912784237289856	0.4948369034869944	5.637213785332771	60.649130160972796	0.13676027347486025	0.4923455507652736	0.8184914623697948	0.3690021754006545	1.1586182172565225	1.6582165312460606	3.8293269193017303	118193059	116769441	91376	99624	117175066	118821786	139972	221226
SIM_5	23267470	25767866	24770781	99762973	7322139	73.4	5453418	126571	23.21	26900914	1606888	59.73	1506563580	15086541	10.01	33920391	34567	1.02	0.81	0.76	35777780	95761	2.68	1.92	1.56	997085	28.415775679677935	0.4911970591588764	6.236015042922064	58.54788673613872	0.13414770163738043	0.47405167350683985	0.7914819178274212	0.37162953269005666	1.1540381341629145	1.6481535568370311	3.8694900074379457	118193059	116769441	81795	87586	117175066	118821786	127323	201610
SIM_6	23502055	26303004	25356550	99762973	8170035	81.89	5453418	127601	23.4	26900914	1766999	65.69	1506563580	14685385	9.75	33920391	32928	0.97	0.76	0.71	35777780	96186	2.69	1.91	1.53	946454	31.061224033574263	0.4851194943360842	6.717860058873884	55.83158866569005	0.1251872219614155	0.43642923827255625	0.7237272214230739	0.3656844670669555	1.1205222034715123	1.582207112161029	3.598273413941617	118193059	116769441	75568	81866	117175066	118821786	121437	198545
VPA_1	18601049	21172924	20433535	99762973	7578235	75.96	5453418	117700	21.58	26900914	1674105	62.23	1506563580	10596570	7.03	33920391	28479	0.84	0.61	0.56	35777780	75859	2.12	1.46	1.17	739389	35.7921041042796	0.5558986562271702	7.906820049984593	50.047740217647785	0.13450669354879846	0.4332608949052101	0.7061802139373854	0.3582830600062608	1.067755214159367	1.4991127347361186	3.49214402318735	118193059	116769441	57785	63255	117175066	118821786	91331	150216
VPA_2	19618758	22069965	21244856	99762973	7231902	72.49	5453418	121955	22.36	26900914	1515710	56.34	1506563580	11859233	7.87	33920391	31245	0.92	0.69	0.63	35777780	80099	2.24	1.58	1.27	825109	32.76807190224362	0.5525835677582633	6.867749903545384	53.73471593634154	0.1415724945644454	0.47018198714859766	0.7707216572386952	0.36293215689286323	1.1050040179039704	1.5675511945759768	3.738605838296526	118193059	116769441	66329	72524	117175066	118821786	102084	163775
VPA_3	24756727	27682415	26683267	99762973	8648522	86.69	5453418	162489	29.8	26900914	1731224	64.36	1506563580	15500925	10.29	33920391	39279	1.16	0.86	0.79	35777780	97032	2.71	1.95	1.57	999148	31.241934636121883	0.5869755221861965	6.25387633268268	55.99556613828671	0.14189152210889114	0.4703419120044259	0.7679351675061586	0.3505185512174425	1.0874015146438634	1.544388377964856	3.609323825251518	118193059	116769441	82381	90923	117175066	118821786	126505	203987
VPA_4	26328249	29073892	27933914	99762973	8078311	80.98	5453418	146171	26.8	26900914	1701036	63.23	1506563580	17282634	11.47	33920391	40439	1.19	0.95	0.89	35777780	108385	3.03	2.2	1.79	1139978	27.785447507337512	0.5027569064368815	5.850733709817729	59.44382678452544	0.139090425182841	0.4929302206942228	0.8208223377867675	0.3727915065516512	1.1715803305591146	1.6754447598553368	3.9209679942403306	118193059	116769441	95331	102875	117175066	118821786	146493	232239
VPA_5	19257574	21671135	20882957	99762973	7094660	71.12	5453418	110682	20.3	26900914	1625479	60.42	1506563580	11565988	7.68	33920391	28538	0.84	0.64	0.59	35777780	78455	2.19	1.51	1.21	788178	32.737833066888285	0.510734670795969	7.500663901544612	53.37047644251213	0.13168668830681918	0.4419980771657783	0.7285036062947327	0.3620253392358084	1.0801233991666797	1.5147937567644705	3.636994555199809	118193059	116769441	62089	67248	117175066	118821786	94198	155620
VPA_6	22013774	24594154	23651898	99762973	7584469	76.02	5453418	134534	24.67	26900914	1483093	55.13	1506563580	13855208	9.2	33920391	36413	1.07	0.81	0.74	35777780	88187	2.46	1.78	1.45	942256	30.838503328880513	0.5470161730303876	6.0302663795632085	56.335371405741384	0.14805550945155502	0.49767111322471186	0.8132623712122807	0.3585689509791636	1.1202011665048532	1.604360938782444	3.831219402789785	118193059	116769441	77617	85985	117175066	118821786	119075	187317
VPA_SIM_1	26164435	28864398	27734685	99762973	8007978	80.27	5453418	138143	25.33	26900914	1688227	62.76	1506563580	17171004	11.4	33920391	40865	1.2	0.97	0.9	35777780	109200	3.05	2.21	1.8	1129713	27.743443670642293	0.47859304046458895	5.848821097879817	59.48852285088364	0.14157579174178517	0.505875785110779	0.8363798198736035	0.37832072576050263	1.1837038832405233	1.6903764977187468	3.913863022537314	118193059	116769441	95398	105153	117175066	118821786	146248	232469
VPA_SIM_2	22643390	24846414	23826487	99762973	6596139	66.12	5453418	123220	22.59	26900914	1243385	46.22	1506563580	15203486	10.09	33920391	37797	1.11	0.91	0.84	35777780	92914	2.6	1.94	1.59	1019927	26.547649894266435	0.495926695900664	5.00428351552059	61.18986023496188	0.15212255579416814	0.5498338713989068	0.9138984804809257	0.37395336003014357	1.2093857890317694	1.7434548100180574	4.104926368851457	118193059	116769441	90457	98817	117175066	118821786	132697	207575
VPA_SIM_3	25105831	27725543	26624400	99762973	7699923	77.18	5453418	135279	24.81	26900914	1647303	61.24	1506563580	16429252	10.91	33920391	39167	1.15	0.93	0.87	35777780	106459	2.98	2.17	1.76	1101143	27.771946612551467	0.48792191373853344	5.941463436802662	59.25673664894499	0.1412668455221959	0.5050505232665776	0.8402793048994568	0.3839744455140157	1.2125822026280966	1.7300689115448524	3.9715831715180476	118193059	116769441	92944	100861	117175066	118821786	143476	229736
VPA_SIM_5	25722580	28689332	27603281	99762973	8728888	87.5	5453418	161044	29.53	26900914	1820212	67.66	1506563580	16204977	10.76	33920391	41160	1.21	0.93	0.86	35777780	104630	2.92	2.08	1.68	1086051	30.425553303227833	0.5613375731439129	6.34456041012039	56.48433013358415	0.14346796223767078	0.48934565642727407	0.804034056979786	0.3647000215968779	1.121570205956695	1.5946275779443033	3.7855569449996254	118193059	116769441	90282	99230	117175066	118821786	135717	217141
VPA_SIM_6	26008436	28890977	27824358	99762973	8454026	84.74	5453418	151223	27.73	26900914	1790030	66.54	1506563580	16747366	11.12	33920391	39641	1.17	0.91	0.84	35777780	104118	2.91	2.07	1.67	1066619	29.261821086908903	0.5234263971066122	6.195809854405408	57.967461605746315	0.13720892858694256	0.47458415823043987	0.7841583204334004	0.36038241282044564	1.1087025544342095	1.5754468947173368	3.691875840682023	118193059	116769441	89439	97471	117175066	118821786	134847	216197
VS_GEM_50_TAX_10_1	25186370	27766103	26612062	99762973	7801296	78.2	5453418	160063	29.35	26900914	1396074	51.9	1506563580	16515778	10.96	33920391	45636	1.35	1.03	0.95	35777780	102583	2.87	2.15	1.78	1154041	28.09647432338632	0.5764690853448178	5.027979619610285	59.48180052490621	0.16435867863776202	0.5597832724311367	0.9210655164680474	0.36945407859360024	1.1980579341652662	1.7399164729742593	4.156294457310052	118193059	116769441	100314	109794	117175066	118821786	150453	230071
VS_GEM_50_TAX_10_2	25311132	28136952	27037184	99762973	8413158	84.33	5453418	153500	28.15	26900914	1720382	63.95	1506563580	16071960	10.67	33920391	42245	1.25	0.95	0.88	35777780	98996	2.77	1.98	1.63	1099768	29.900744046476674	0.5455459425740214	6.114315438289123	57.120472750566584	0.15014064067778202	0.5097140585803324	0.8391953755332134	0.3518362614401162	1.0901500631624919	1.5711012337086119	3.9086252128517684	118193059	116769441	92706	101173	117175066	118821786	135325	207739
VS_GEM_50_TAX_10_3	24465018	27404186	26411351	99762973	8623028	86.44	5453418	146437	26.85	26900914	1843926	68.55	1506563580	15174331	10.07	33920391	36728	1.08	0.82	0.76	35777780	96964	2.71	1.91	1.55	992835	31.466097916573766	0.5343599696776251	6.728628976609633	55.372310638965885	0.13402332037886475	0.4508982678777615	0.7431455909692045	0.35382915588151387	1.0791635993128932	1.5325249945391555	3.6229319126647295	118193059	116769441	80088	86837	117175066	118821786	124240	198772
VS_GEM_50_TAX_10_4	25957164	28877575	27756680	99762973	8610376	86.31	5453418	161154	29.55	26900914	1644974	61.15	1506563580	16643152	11.05	33920391	43355	1.28	0.97	0.89	35777780	101246	2.83	2.04	1.68	1120895	29.816824993095853	0.5580593245797129	5.6963716655570975	57.63348203580113	0.1501337975920762	0.5078958326660047	0.831191677278996	0.3506042318304082	1.094402836803298	1.582529003907011	3.8815412997801926	118193059	116769441	93360	103313	117175066	118821786	140959	214791
VS_GEM_50_TAX_10_5	25119543	27740499	26653106	99762973	7838218	78.57	5453418	153823	28.21	26900914	1414225	52.57	1506563580	16553526	10.99	33920391	43565	1.28	0.99	0.9	35777780	97831	2.73	2.01	1.66	1087393	28.255504704511626	0.5545069683137279	5.098051769003867	59.67277661443653	0.15704475972115714	0.535480634288518	0.8750527522954796	0.3526648889769431	1.1221643850025913	1.6242317775177726	3.9198754139209973	118193059	116769441	94199	104980	117175066	118821786	139276	213463
VS_GEM_50_TAX_10_6	26258041	29414399	28332799	99762973	9277561	93.0	5453418	170518	31.27	26900914	1819907	67.65	1506563580	16383785	10.87	33920391	43275	1.28	0.95	0.86	35777780	102363	2.86	2.03	1.65	1081600	31.540882409326127	0.5797092777588282	6.1871296435463465	55.699880184531395	0.1471218228868113	0.48519774277897026	0.7884539813307081	0.3480030307605469	1.0691532402208863	1.526833847599606	3.6771106559069926	118193059	116769441	89201	99443	117175066	118821786	134624	212122
