Sample	Top over-represented sequence	Sum of remaining over-represented sequences
CTR_1	0.4015806726265524	0.4495500387560861
CTR_2	0.4443466876602517	1.7909384990308714
CTR_3	0.39746336964045453	1.1483298073489294
CTR_4	0.399114476571547	1.1542442355635527
CTR_5	0.4359606882020627	0.8700251253267749
CTR_6	0.7036033061932567	0.7848500832964764
GEM_50_TAX_10_1	0.29438215696736997	0.5155849504176593
GEM_50_TAX_10_2	0.2641918790236709	0.448662916112303
GEM_50_TAX_10_3	0.30640354546828974	0.13437398288074254
GEM_50_TAX_10_5	0.40270081104454464	0.2614709308016712
GEM_50_TAX_10_6	0.3571513920044877	0.423547842705914
SIM_1	0.3260456687192178	0.7541141671085657
SIM_2	0.2442081743166571	0.5904239519103663
SIM_3	0.36704666680828374	0.5894905255566201
SIM_4	0.27529694352013045	0.22049185746711036
SIM_5	0.31656951883747375	0.12787633014088173
SIM_6	0.35087600694528154	0.31486512106643416
VPA_1	0.7026796309278971	1.8146359553578082
VPA_2	0.3523072291124204	2.0913683047564096
VPA_3	1.2183564269084264	2.928025267875348
VPA_4	0.5683288171202449	0.6927098001251374
VPA_5	0.4400213192318714	0.9410113516568128
VPA_6	0.4689571079148549	0.5658110302771366
VPA_SIM_1	0.26366828230606154	0.12644856122743497
VPA_SIM_2	0.16999971194707758	0.11491048845227442
VPA_SIM_3	0.3343635161489513	0.3451202531484969
VPA_SIM_5	0.3681650188041547	0.8490196318625387
VPA_SIM_6	0.34981170450694876	0.5809268461221657
VS_GEM_50_TAX_10_1	0.1849769902790026	0.759833484395442
VS_GEM_50_TAX_10_2	0.18739402386201406	0.44897279187787953
VS_GEM_50_TAX_10_3	0.29913108590912435	0.31389021344338913
VS_GEM_50_TAX_10_4	0.2677499488110175	0.4769670625581984
VS_GEM_50_TAX_10_5	0.2329321462941567	0.48699307521986845
VS_GEM_50_TAX_10_6	0.27649351684585266	1.0527859255381136
