Sample	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88
CTR_2 - illumina_universal_adapter	0.0014431863810280391	0.001491377138918255	0.001504058917310417	0.0015319588297731735	0.001547176963843768	0.0015700041649496595	0.0015953677217339837	0.0016258039898751726	0.0016511675466594966	0.0017183809721379555	0.00176023084083209	0.0018312487998281973	0.00193397120480471	0.0021064433909381134	0.002403197005314705	0.0026251281271775406	0.0029789497443188616	0.003474807279452397	0.004049291840617336	0.004608558267711682	0.005181774651037406	0.0057866954803435355	0.0064372707118614475	0.0071170140336813325	0.0077257393965051106	0.00842704174159167	0.00911185777476842	0.009867691766941276	0.01070468914082397	0.011664699765110637	0.012877077779401329	0.014059019525550828	0.015337342787480761	0.016856619838861775	0.018860340824823373	0.0220789761807541	0.024961544409292526	0.02820047061065071	0.031518023838040296	0.035517856742928205	0.040588031744114586	0.046562417544662116	0.052770148067625436	0.0595929448426086	0.06764967865514915	0.0783061770380829	0.09041600722475843	0.10426577740683858	0.11962594739542523
CTR_3 - illumina_universal_adapter	0.00746866000434953	0.007551897349889393	0.007561986725106346	0.007579643131736014	0.0076073889135826345	0.00763009000782078	0.007660358133471638	0.007718372040969119	0.007730983759990311	0.007836922199768318	0.00791889837340606	0.007990785171826852	0.008090417752094264	0.008236713692740084	0.008584797137724965	0.008882433706625082	0.009182592619329437	0.00966183794213471	0.010228104126186202	0.010824638435888552	0.011428739777003621	0.012013923539586899	0.01261171902119137	0.013165373486221672	0.01388424147042958	0.01470400320680702	0.015514936739869624	0.016288035115868654	0.017275532715227943	0.018626247822397534	0.020274599498467247	0.02200618852007682	0.023828581918638975	0.026425334865102276	0.02983302134462819	0.039526388584315876	0.04397328071118795	0.049268941528186214	0.053980679754503304	0.05946929987252579	0.06631367978532635	0.0743637400365528	0.08261306544831407	0.09147027571689677	0.10182449703329488	0.11515886755440052	0.13056282116688367	0.14722668550958382	0.1648666969045242
CTR_4 - illumina_universal_adapter	0.004578197479650834	0.004604522713459594	0.004606915916533118	0.004638027556488926	0.004702644039474066	0.00475050810094454	0.0048270905992972984	0.004958716768341102	0.0050113672359586225	0.00517171184188471	0.005488811249126601	0.005606078199729261	0.005748473782603921	0.005931553817728485	0.006429340057021414	0.006728490441211876	0.007092257308387478	0.0075457692908202185	0.007995691468642674	0.00851740973867084	0.009106137694757668	0.00959794092636679	0.010192651890137428	0.010859158946113778	0.011553187837435652	0.01234294485169847	0.01316501010745386	0.013963143332474014	0.014891706125001208	0.01592915965737373	0.017233455332444147	0.01876390869796255	0.020448723661723234	0.022504485101880092	0.025472056913049476	0.03075026629170599	0.0348462333520418	0.039191093532024074	0.043502448868977014	0.04836783071745069	0.05470144265153116	0.06233935026068204	0.07046906110144203	0.07889911892792925	0.08917433632410326	0.10252721287282873	0.11779345527883639	0.13456621901962723	0.1527784944091426
CTR_5 - illumina_universal_adapter	0.00447408637728276	0.00449883664234858	0.004510259841609727	0.004523586907414398	0.004538817839762595	0.004546433305936693	0.004584510636807185	0.004622587967677677	0.004630203433851775	0.004694934896331611	0.004748243159550299	0.004827253621106569	0.004900552483032265	0.005020496075274314	0.005244200394138452	0.005469808579546114	0.00573825376218308	0.006127594470333856	0.006578810841149182	0.007034786878323318	0.00744316625190934	0.007886767156550567	0.008386532124225769	0.008926278289314986	0.009604054778809736	0.010356082063501946	0.011113820947824728	0.011858232766342838	0.01278160803995226	0.013935351165328153	0.01533088534173167	0.01689491170723711	0.018607439663137472	0.020772135923124914	0.023603185473345965	0.029983042260696827	0.034099201727796964	0.03869323169732178	0.04305784574835187	0.0485171830619086	0.05524639935999623	0.06333402443688863	0.07168914276314625	0.08067634478185402	0.09146270068419252	0.10520004972899412	0.12133627061863668	0.13907745100447044	0.15849022621551884
CTR_6 - illumina_universal_adapter	0.0008281393851180266	0.000843354544424657	0.000860743297917949	0.0008868264281578867	0.0009020415874645172	0.0009042151816511787	0.0009389926886377624	0.0009911589491176382	0.0010107212967975915	0.0011096198322906891	0.0012291675125570708	0.0013682775405034061	0.0015226027277563717	0.0017758264505024351	0.00213446949130158	0.002495286126287387	0.0029560880938596223	0.0035668680603115005	0.004264591794229838	0.004923190832788268	0.0056165673783332825	0.006371891358198149	0.0071217813525963625	0.007890146897581198	0.008833486774592284	0.009896374331869752	0.010960348686240549	0.01198411154815811	0.013274139697941702	0.014898901352471164	0.016965989423986236	0.019037424683874635	0.02127948708741596	0.024169280558582407	0.027970896791053346	0.033054933593654565	0.03835741661201526	0.044146784728188136	0.050482811782306375	0.057854556466368806	0.06703907870210692	0.07808528435872059	0.08979226264807935	0.102537132161569	0.11817070834913174	0.1374591831615658	0.16073620330652363	0.18631179930387604	0.21395122298146352
SIM_2 - illumina_universal_adapter	0.001649159119136831	0.0016683800878913395	0.0016741463785176919	0.0016952894441476514	0.0017202767035285123	0.0017279650910303158	0.0017587186410375295	0.0018240699348028584	0.0018721223566891298	0.0019105642941981468	0.0019682272004616723	0.0020431889786042554	0.0021489043067540524	0.0023382308489859616	0.002596752878734101	0.0028591191022331423	0.0031964471038747667	0.0037029196305560664	0.004250717240059558	0.004733163555797722	0.005328052538749762	0.005942162490456308	0.0066024027671736756	0.007168460296993952	0.007712413712746544	0.008325562616015365	0.008911802163027876	0.009487470177225406	0.010064099239860659	0.010819483311912844	0.011649829162107612	0.012586851388889903	0.013565198698494388	0.014648300287810941	0.016141769560036254	0.018128256680814712	0.02020796550005253	0.022699964099074557	0.025187157455907962	0.028310564878515597	0.03230756533101564	0.03718584720090991	0.04281374685223	0.049001937742744014	0.05695557461335964	0.0673483524189224	0.08038305237979235	0.09544172035051204	0.11315672620310482
VPA_1 - illumina_universal_adapter	0.009540413475783716	0.009550477203078847	0.009550477203078847	0.00956305686219776	0.009565572794021543	0.00957312058949289	0.00959324804408315	0.00963098702143989	0.009673757862444196	0.009731624294391197	0.009810876146840349	0.009902707658408415	0.009971895783562435	0.010096434408839675	0.010493951636997331	0.010687678387428593	0.010907822422009574	0.011198412547656467	0.011548127071162251	0.011878972105989666	0.012211075106728973	0.01260985030079852	0.013013657358515632	0.013504264064153244	0.01421124090663616	0.015052820101691448	0.015856660319389995	0.01668440188941448	0.01774486715313886	0.019113534065276605	0.020797950421299075	0.022677351493664698	0.024731609827783208	0.027237477924270705	0.03084909805731066	0.03875918771128324	0.04444141973529629	0.05112247669335106	0.057915492617564145	0.0669137227853227	0.07844423833371848	0.08951937022200959	0.10077816513343685	0.11267600672810488	0.12718915945359496	0.14552652855123463	0.1668716941442064	0.1910825060844666	0.217455761427268
VPA_2 - illumina_universal_adapter	0.0029348633655445506	0.0029694784347253627	0.0029744234446083357	0.0030040935039061744	0.0030560161076773926	0.0030881586719167177	0.0031474987905123954	0.0032760690474696965	0.0033205741364164547	0.0035084845119694335	0.003753262501176603	0.003916447827314717	0.004074688143569857	0.004383751261255677	0.004910394813792315	0.005356681955730639	0.005890743023091737	0.0066386757678914225	0.0073668284731592155	0.008049239837009507	0.00878851881451399	0.009597027930380097	0.010527926040849787	0.011437807859316843	0.012395903524142885	0.013447954376745418	0.01445055513051822	0.01555081982947974	0.016852593681172416	0.01841274429925044	0.020322754366548807	0.022373697215511912	0.024674363063565158	0.027332305875663217	0.03082348285304224	0.03708633786982771	0.04244425607802909	0.04842153677407286	0.0542640659508056	0.06120685982649988	0.0700534825071388	0.08101286066027799	0.09225904938662963	0.10440152115427015	0.11953572390110939	0.13881384492988014	0.1607919413547542	0.18552564453691503	0.2123993007459325
VPA_3 - illumina_universal_adapter	0.004450935725700517	0.004495242012476466	0.004500780298323459	0.004526625632276096	0.004543240489817077	0.004561701442640389	0.0045930850624400195	0.0046521601114746175	0.0046632366831686044	0.004815539543960929	0.0049013829745893295	0.005014917834452698	0.005141375361292385	0.005336138413578327	0.005637051944598312	0.006007194048705717	0.0064308729160007265	0.007086236741228302	0.007794214282002315	0.008558497728887431	0.009453853940818062	0.010224598721191337	0.011103340075580987	0.01223315038836768	0.01371187270951497	0.015446279227265129	0.01728591317610817	0.01909785569571624	0.021501471753311456	0.02474321506908504	0.028704012497326625	0.03328048270222567	0.03815232815229769	0.04416229134392691	0.05243649039933533	0.06568037795477935	0.07914671999174426	0.09396717291829912	0.10901469556458071	0.12758549105719139	0.15170011068264266	0.18041889194222793	0.2112440679189531	0.24440455442782721	0.2850417268301427	0.3365680922552887	0.39756954171699965	0.4670076466189642	0.5423292571857182
