Sample	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
SIM_2	435.0	702.0	1144.0	1297.0	1376.0	1525.0	1526.0	1620.0	1551.0	1775.0	1923.0	1920.0	2078.0	1993.0	2212.0	2419.0	2339.0	2455.0	2587.0	2983.0	3309.0	3505.0	4058.0	4246.0	4782.0	5668.0	6882.0	7008.0	8413.0	10398.0	12245.0	14282.0	17546.0	21900.0	28105.0	41714.0	84913.0	461819.0	4643908.0	30877270.0	15610099.0
SIM_3	222.0	430.0	635.0	764.0	790.0	901.0	994.0	974.0	1052.0	1217.0	1254.0	1360.0	1429.0	1485.0	1577.0	1635.0	1595.0	1657.0	1860.0	1962.0	2091.0	2234.0	2338.0	2500.0	2571.0	3065.0	3523.0	3580.0	4226.0	5147.0	6056.0	7320.0	9286.0	11533.0	17428.0	27736.0	65147.0	422245.0	4402919.0	28787426.0	14407809.0
SIM_4	247.0	454.0	677.0	845.0	896.0	961.0	936.0	1060.0	1090.0	1169.0	1301.0	1337.0	1456.0	1367.0	1527.0	1673.0	1600.0	1640.0	1794.0	1816.0	2033.0	2019.0	2209.0	2440.0	2610.0	3032.0	3213.0	3197.0	3763.0	4731.0	5380.0	6298.0	8130.0	10373.0	15359.0	25143.0	60404.0	398416.0	4137323.0	27017602.0	13620756.0
SIM_5	207.0	350.0	544.0	652.0	762.0	852.0	829.0	908.0	890.0	1014.0	1134.0	1173.0	1257.0	1260.0	1315.0	1436.0	1430.0	1536.0	1663.0	1669.0	1815.0	1851.0	1899.0	2097.0	2243.0	2553.0	2745.0	2784.0	3185.0	3934.0	4525.0	5287.0	6766.0	8559.0	12651.0	21445.0	53173.0	354734.0	3736110.0	24465686.0	12387449.0
SIM_6	211.0	428.0	613.0	704.0	781.0	819.0	930.0	967.0	947.0	1160.0	1341.0	1200.0	1309.0	1397.0	1404.0	1560.0	1545.0	1611.0	1798.0	1815.0	1953.0	1891.0	2074.0	2276.0	2185.0	2462.0	2840.0	2804.0	3309.0	4056.0	4627.0	5373.0	7182.0	9439.0	13679.0	23012.0	57715.0	401067.0	4253428.0	28009554.0	14188535.0
VPA_1	267.0	444.0	657.0	775.0	875.0	865.0	937.0	987.0	1069.0	1437.0	1632.0	1604.0	1659.0	1826.0	1891.0	2018.0	2079.0	2218.0	2428.0	2937.0	4857.0	3820.0	4648.0	4467.0	5371.0	6816.0	6858.0	6901.0	7384.0	8823.0	10670.0	12571.0	15073.0	17498.0	22534.0	32440.0	64332.0	350473.0	3584345.0	23397145.0	11719907.0
VPA_2	468.0	706.0	1156.0	1276.0	1321.0	1379.0	1393.0	1575.0	1593.0	1851.0	1890.0	2003.0	2035.0	2105.0	2249.0	2423.0	2611.0	2640.0	2825.0	3258.0	4552.0	4154.0	4652.0	4582.0	5149.0	6058.0	7473.0	7653.0	8235.0	9859.0	12158.0	14065.0	16989.0	19716.0	24951.0	35757.0	67972.0	352556.0	3546038.0	23580491.0	11953343.0
VPA_3	452.0	707.0	1145.0	1273.0	1463.0	1565.0	1514.0	1604.0	1771.0	2162.0	2576.0	2630.0	2642.0	2953.0	3505.0	3876.0	4388.0	4648.0	5032.0	6258.0	9418.0	9205.0	11062.0	10716.0	12571.0	15983.0	19361.0	20702.0	22269.0	26462.0	33072.0	39013.0	46020.0	50919.0	62042.0	81005.0	132020.0	520672.0	4788143.0	30898020.0	15483324.0
VPA_4	416.0	724.0	1146.0	1281.0	1381.0	1416.0	1494.0	1546.0	1734.0	1909.0	2093.0	2079.0	2129.0	2116.0	2346.0	2329.0	2468.0	2651.0	2726.0	2968.0	4107.0	3429.0	3859.0	3835.0	4156.0	4629.0	5423.0	5514.0	6180.0	7317.0	8749.0	10324.0	12950.0	15962.0	21186.0	32452.0	72744.0	440639.0	4546466.0	29867054.0	15106265.0
VPA_5	256.0	444.0	611.0	734.0	812.0	844.0	905.0	947.0	1063.0	1175.0	1310.0	1322.0	1360.0	1381.0	1439.0	1485.0	1482.0	1518.0	1632.0	1737.0	2052.0	1842.0	2038.0	2147.0	2155.0	2463.0	2703.0	2699.0	2968.0	3448.0	4089.0	4788.0	5721.0	7286.0	11173.0	18622.0	46819.0	323038.0	3441953.0	22809285.0	11594233.0
