Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	X	MT
CTR_1	1.0701173352618654	0.9516642659061206	0.8798808971013325	0.5854437668978842	0.9540512021044407	1.0128101430849663	1.077692887012109	0.9566927710054376	1.1524215135360096	0.7496598193071129	1.3721402116070855	1.5703362404711811	0.4265044728763151	2.7682935827216144	0.8245033069453571	1.1230193889156432	1.8654894116847267	0.36917776101632827	1.0350923115661828	1.0265139897760192	0.6999874763820318	0.864348121069146	0.3778883314184006	1035.5539245144564
CTR_2	1.0240107763093116	0.8789637850033667	0.855645067816697	0.5372148873793295	0.9069776565293272	0.9839767719702893	1.0262785123930263	0.9296195779266151	1.1209991270424766	0.697221956795074	1.2612533396482493	1.4198042858003415	0.4053746267731178	3.352968100447244	0.7786971998565773	1.0904506527173468	2.6252839804828665	0.34039836387556105	1.057200629034929	1.0260459395828718	0.6897097555001067	0.8647109875731878	0.3610710877217442	1324.0930281834865
CTR_3	1.1261165693381048	1.0023401627985151	0.8152524804746913	0.6226521864185762	0.9974262742881288	0.8914756370802459	1.171364546704465	1.0274041044051028	1.016160868348733	0.7720732902767162	1.420408341067392	1.5040283483882337	0.4373335668494286	1.9632886873232658	0.821536306615555	1.3645758226927378	2.2190271047977284	0.365874990942055	1.062594495409288	1.1012852305532255	0.8622038777824987	0.8413125934880371	0.38681832520166404	1319.2620243506572
CTR_4	1.075315989986949	0.9660943580311326	0.814922136638835	0.5533130186287263	0.9138411781457858	0.89046460698139	0.9865522212228355	0.9209255941632267	1.2153012994054608	0.6648656501557212	1.357485009724664	1.6198342559903467	0.3848134839058285	2.8137511960942807	0.7260203156124504	1.3826955975675927	2.1242086336207087	0.33576053868601397	1.029782004100142	0.9382472589657189	1.2991980593156365	0.7368422825199634	0.36025993854221655	1421.2956986617423
CTR_5	1.0889258056405922	0.9895233746574603	0.8908778268791971	0.632086763976542	1.025204694672102	0.95925777856381	1.1234041498974858	1.004048249745939	1.0280808100673011	0.7647100118440131	1.3057476998599895	1.4499063706617379	0.4510796586143614	2.5519811649392947	0.8309478228635956	1.0983891577150857	2.2019563508920967	0.3782607587711445	0.9803501574091261	0.9997966668624726	0.6530456221653947	0.8007566757923639	0.3911798191335353	1011.7527448402773
CTR_6	1.1244712364767244	0.9999437561918415	0.8351953856566334	0.6274180493850222	1.0016508999356266	0.884799576927103	1.1881203614686262	1.018319792498421	0.9709135771105568	0.7824542044140491	1.3676022204776819	1.414058590305853	0.4485917056251434	2.1196974877816355	0.828284976895572	1.2819396487646875	2.424702852440377	0.3645637941545367	1.0210843678638595	1.1144362475224578	0.7312336505500405	0.8476922345985418	0.3867121038231397	1368.6121122018758
GEM_50_TAX_10_1	1.0883644220137052	0.9722314299663711	0.8786402030966709	0.5814506193234612	0.9723356515898175	0.9440534761278926	1.1167466088096178	0.9899292838055053	1.0124364955335141	0.7762003565673844	1.3490166867850648	1.4300340490143986	0.4179528921816998	2.666503220307334	0.8433944889966912	1.2030644961110764	2.194877817279622	0.38508131369823145	1.0438309162115973	1.059074692708627	0.6699524855151916	0.8533438283027214	0.38036120092127923	1115.213601596332
GEM_50_TAX_10_2	1.0700668560501803	0.9410166915000217	0.89518678553841	0.5468283708583644	0.9154437299995585	0.8872076891809718	1.106565376239671	0.9706645446501269	1.0742430875891906	0.7612065891294963	1.3611137734494092	1.4388127365551842	0.3999541330367107	2.9035880683856234	0.8204895676988601	1.2938376650722407	2.1708343094151203	0.36109158146086157	1.0782713152645986	1.0817857921075729	0.6727151773080784	0.8699620746865193	0.36197969363460425	1305.5955623075743
GEM_50_TAX_10_3	1.1032474621215422	0.9874018776516443	0.8663653925054263	0.5864723626067644	0.9912956593580431	0.9419048212230009	1.1586330367863649	1.024657083281656	1.0186367769393048	0.7931938624498578	1.359711305233437	1.4995039985523302	0.4134937302712054	2.2276844366278667	0.8482382912380874	1.2881854914991384	2.075440518175621	0.3923061171312228	1.0794793213672975	1.141815857050657	0.7630019300837961	0.8817411284882014	0.3809298967401095	1106.5518264161713
GEM_50_TAX_10_5	1.1054597405869055	1.0116991900547923	0.8947787782816757	0.6151020439896568	1.0198356151319277	1.0478479420125568	1.1297209396115537	0.9937778268297797	1.0031395645630534	0.7897706674263363	1.3163844332314343	1.455648794351992	0.4137472992539321	2.363377374538004	0.8599738080803658	1.1422128452110092	1.9342820486917323	0.4158713106983129	1.072673499372012	1.0773699692733227	0.7172825600111827	0.8634460920513098	0.38478741396932153	918.0425184190196
