Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
SIM_1	48895231.0	0.0	48895231.0	1.0	48895231.0	0.0	48895231.0	0.0	0.0	0.0	0.0	22071792.0	655827.0	0.0	9184852.0	0.0	4831373045.0	4831373045.0	0.0	4831373045.0	4813957721.0	0.0	2180932756.0	22110654.0	0.004593031	98.0	99.0	0.0	100.0	100.0	0.0	36.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	45.140991357623406	1.3412903192951475	0.0
SIM_2	46287953.0	0.0	46287953.0	1.0	46287953.0	0.0	46287953.0	0.0	0.0	0.0	0.0	19556031.0	497639.0	0.0	7847366.0	0.0	4572760484.0	4572760484.0	0.0	4572760484.0	4555544664.0	0.0	1931807367.0	21288333.0	0.00467306	98.0	99.0	0.0	100.0	100.0	0.0	36.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	42.248640807252805	1.0750939882781163	0.0
SIM_3	44781247.0	0.0	44781247.0	1.0	44781247.0	0.0	44781247.0	0.0	0.0	0.0	0.0	19518801.0	535025.0	0.0	7921410.0	0.0	4425091525.0	4425091525.0	0.0	4425091525.0	4409317249.0	0.0	1928741543.0	19048554.0	0.004320069	98.0	99.0	0.0	100.0	100.0	0.0	36.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	43.586997476867936	1.1947523480085314	0.0
SIM_4	41508759.0	0.0	41508759.0	1.0	41508759.0	0.0	41508759.0	0.0	0.0	0.0	0.0	16051377.0	388551.0	0.0	5390372.0	0.0	4101945039.0	4101945039.0	0.0	4101945039.0	4087095274.0	0.0	1586277359.0	18519893.0	0.004531309	98.0	99.0	0.0	100.0	100.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	38.669855198513645	0.9360699027402867	0.0
SIM_5	38141532.0	0.0	38141532.0	1.0	38141532.0	0.0	38141532.0	0.0	0.0	0.0	0.0	14874062.0	302524.0	0.0	5179654.0	0.0	3769350848.0	3769350848.0	0.0	3769350848.0	3755931546.0	0.0	1469988980.0	16326261.0	0.004346794	98.0	99.0	0.0	100.0	100.0	0.0	36.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	38.997022982716054	0.7931616380799805	0.0
SIM_6	41365600.0	0.0	41365600.0	1.0	41365600.0	0.0	41365600.0	0.0	0.0	0.0	0.0	17863545.0	316911.0	0.0	5629659.0	0.0	4088260902.0	4088260902.0	0.0	4088260902.0	4071737293.0	0.0	1765574120.0	21782085.0	0.00534958	98.0	99.0	0.0	100.0	100.0	0.0	36.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	43.184542228324986	0.7661220917864119	0.0
VPA_1	34922962.0	0.0	34922962.0	1.0	34922962.0	0.0	34922962.0	0.0	0.0	0.0	0.0	16321913.0	529447.0	0.0	8361150.0	0.0	3449292575.0	3449292575.0	0.0	3449292575.0	3434900537.0	0.0	1611839762.0	17706463.0	0.00515487	98.0	99.0	0.0	100.0	100.0	0.0	36.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	46.736909085775714	1.5160426541139322	0.0
VPA_2	35706920.0	0.0	35706920.0	1.0	35706920.0	0.0	35706920.0	0.0	0.0	0.0	0.0	16088162.0	553272.0	0.0	8261668.0	0.0	3526328458.0	3526328458.0	0.0	3526328458.0	3511813651.0	0.0	1588632436.0	16565853.0	0.004717179	98.0	99.0	0.0	100.0	100.0	0.0	36.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	45.05614597954683	1.5494811649954687	0.0
VPA_3	47344116.0	0.0	47344116.0	1.0	47344116.0	0.0	47344116.0	0.0	0.0	0.0	0.0	22587389.0	776782.0	0.0	11198589.0	0.0	4670992496.0	4670992496.0	0.0	4670992496.0	4653291210.0	0.0	2227536103.0	21638251.0	0.004650096	98.0	99.0	0.0	100.0	100.0	0.0	36.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	47.70896767826439	1.6407149729018067	0.0
VPA_4	46208956.0	0.0	46208956.0	1.0	46208956.0	0.0	46208956.0	0.0	0.0	0.0	0.0	19880707.0	494926.0	0.0	6931450.0	0.0	4565302312.0	4565302312.0	0.0	4565302312.0	4548568647.0	0.0	1964106394.0	20370648.0	0.004478475	98.0	99.0	0.0	100.0	100.0	0.0	36.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	43.02349310813254	1.0710607701243022	0.0
