Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0
VPA_1										6.922760410389054	1.847406254174209	3.217612323950112	1.094323543004421	2.5537112804086	1.2195047965923647	4.245705368584228																																																																																																																																																																																																																																																																																																									
VPA_2										6.443903466427933	1.867309366502132	3.48358357230531	1.3375533662394883	3.448219837870063	1.4334373238445115	4.204508020390736																																																																																																																																																																																																																																																																																																									
VPA_3										7.086271446700869	1.8371812950144677	3.2939458077799166	1.2567905847799168	2.9394927158822077	1.3971156320930938	4.585367950702404																																																																																																																																																																																																																																																																																																									
VPA_4										6.14241642593214	1.641711437627948	2.936561028709483	1.0456102529738618	2.4871755473913777	1.017709615175391	2.312302609394386																																																																																																																																																																																																																																																																																																									
VPA_5										6.928515607787124	1.765600270221999	3.024312554849131	0.887395129692034	1.8714420344650384	1.0901185537060052	2.9223277073055822																																																																																																																																																																																																																																																																																																									
VPA_6										7.24513474194359	1.9625440733090262	3.6672479764880763	1.3416943887062796	3.1986250189334804	1.1987793554170791	3.5090377349190143																																																																																																																																																																																																																																																																																																									
VPA_SIM_1										5.791438014066747	1.552014777265211	2.838427196559015	1.081717161901497	2.83136408391791	1.119740456492018	2.0007760575978084																																																																																																																																																																																																																																																																																																									
VPA_SIM_2										4.893305058654828	1.6775008924305173	3.9717896300878324	1.878039195623574	4.0055938219589455	1.654266335726156	3.1745372694111333																																																																																																																																																																																																																																																																																																									
VPA_SIM_3										6.226938537355672	1.673418124044025	2.7505814187601163	0.99534429442126	2.087590231953416	1.0517478056270781	2.2481084826995796																																																																																																																																																																																																																																																																																																									
VPA_SIM_5										7.030724277890965	1.8828346310999222	3.6237792787982053	1.1934428706029527	2.779851906339328	1.3354230663635263	4.142589759177668																																																																																																																																																																																																																																																																																																									
VPA_SIM_6										6.848172662543951	1.7054937272172732	2.8735169472209074	1.0179028404547061	2.3821432311678583	1.2110383212068265	3.627554752155969																																																																																																																																																																																																																																																																																																									
VS_GEM_50_TAX_10_1										5.2033213386685375	1.5318141160947092	3.463727584403987	1.693219635113385	4.391261239301118	2.0593919784301447	3.9862539363179588																																																																																																																																																																																																																																																																																																									
VS_GEM_50_TAX_10_2										6.263356760565303	1.7135387263888537	3.277499607011559	1.2531435891441671	2.8442725187982694	1.3926790619449478	3.339864023964171																																																																																																																																																																																																																																																																																																									
VS_GEM_50_TAX_10_3										6.9918218060950315	1.6993697774480732	2.6346068276075134	0.8935361186977189	2.2935795616758523	0.9382858444971409	3.1499208921437925																																																																																																																																																																																																																																																																																																									
VS_GEM_50_TAX_10_4										6.497217426815652	1.6827413460083789	3.087003326676424	1.2054959031744472	3.3360381570467084	1.4484555247970055	3.9449941353276126																																																																																																																																																																																																																																																																																																									
VS_GEM_50_TAX_10_5										5.761351788290154	1.5095797813518024	3.087071674485776	1.1949783254805786	3.5166465389690695	1.5212692082768633	3.2268657901631608																																																																																																																																																																																																																																																																																																									
VS_GEM_50_TAX_10_6										7.004218316654846	1.712908602637876	2.909503089813293	1.0455542638612199	2.6743007966768104	1.2941114516530314	4.027779288283328																																																																																																																																																																																																																																																																																																									
