Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0
VPA_1										6.863368954510858	1.8344792004296235	3.21413273253716	1.0865691864712246	2.5748409488741077	1.2064253005713481	5.218340902979541																																																																																																																																																																																																																																																																																																									
VPA_2										6.378222376792719	1.8490239607092889	3.46256540526777	1.3197081039038432	3.4642369328918057	1.4079612762781424	5.778222825694492																																																																																																																																																																																																																																																																																																									
VPA_3										6.877273839614065	1.802434989510879	3.2240723157259406	1.2335980137610292	2.9036804236003	1.3631499488825753	7.692632698645406																																																																																																																																																																																																																																																																																																									
VPA_4										6.097005304873694	1.6361521563661774	2.9258465585244613	1.0418229584590404	2.483054836947836	1.0089673468871594	3.095245355012149																																																																																																																																																																																																																																																																																																									
VPA_5										6.898489572621245	1.7550331290064936	3.0229517365794574	0.8833899313549526	1.8577388554935002	1.1373608141612417	3.556284513312052																																																																																																																																																																																																																																																																																																									
VPA_6										7.233401124220393	1.9632271271042476	3.6565506818134774	1.3490037866167441	3.1913876339196663	1.195452013101616	3.7576067172423246																																																																																																																																																																																																																																																																																																									
VPA_SIM_1										5.7886998860491605	1.5495063563022533	2.842247123947689	1.0878187405750848	2.843488742738601	1.1352092744196467	2.0013417049842492																																																																																																																																																																																																																																																																																																									
VPA_SIM_2										4.888438117427683	1.6707141052344814	3.97609451132733	1.8802489727261407	4.017009718466751	1.6541964272015925	3.326415037343336																																																																																																																																																																																																																																																																																																									
VPA_SIM_3										6.2199377067161254	1.6734880025382766	2.7555459959286837	0.9964659814220228	2.1125270606528823	1.0777654912815984	2.2482094044316208																																																																																																																																																																																																																																																																																																									
VPA_SIM_5										7.0287800081281935	1.8820406652060955	3.6239513989019714	1.1953038002815328	2.784343710817004	1.3344328172154551	4.22768707906811																																																																																																																																																																																																																																																																																																									
VPA_SIM_6										6.85090145167895	1.7048001017612862	2.8764535997478977	1.0224987476766576	2.39772077678528	1.2353256795553589	3.627590283857623																																																																																																																																																																																																																																																																																																									
VS_GEM_50_TAX_10_1										5.1968917435813005	1.5351419035232714	3.45945673284019	1.6963430740593044	4.3992000385469385	2.0664958317514617	4.28111560967156																																																																																																																																																																																																																																																																																																									
VS_GEM_50_TAX_10_2										6.2396032947785125	1.7072681986468663	3.2635328257750924	1.2444837227152448	2.8745948385071967	1.4076359100252616	3.7617115197685744																																																																																																																																																																																																																																																																																																									
VS_GEM_50_TAX_10_3										6.986663852313094	1.7011168305390567	2.6351294645079055	0.8981066833449405	2.3116510553159664	0.9646664067117521	3.1784000496050084																																																																																																																																																																																																																																																																																																									
VS_GEM_50_TAX_10_4										6.489695996312736	1.684683813612498	3.0841327637675637	1.2070703329201171	3.3384550777141015	1.446896928804473	4.101104961168566																																																																																																																																																																																																																																																																																																									
VS_GEM_50_TAX_10_5										5.757062168596564	1.5028111196020881	3.0873189062621273	1.204071477636059	3.5158944025774463	1.5175315188484533	3.457979175408314																																																																																																																																																																																																																																																																																																									
VS_GEM_50_TAX_10_6										6.981367374860957	1.7065212004523589	2.906039009187278	1.038601274764224	2.700839781524062	1.299369353212061	4.405851308400955																																																																																																																																																																																																																																																																																																									
