Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	X	Y	MT	*
SIM_1	[4853079, 249250621]	[4260945, 243199373]	[3318544, 198022430]	[2032062, 191154276]	[3224621, 180915260]	[2989864, 171115067]	[3292703, 159138663]	[2692011, 146364022]	[2992451, 141213431]	[1888062, 135534747]	[3444336, 135006516]	[3588597, 133851895]	[896549, 115169878]	[6065130, 107349540]	[1529935, 102531392]	[2012851, 90354753]	[3236385, 81195210]	[518818, 78077248]	[1086678, 59128983]	[1195926, 63025520]	[604804, 48129895]	[791201, 51304566]	[1082415, 155270560]	[29706, 59373566]	[452410, 16569]	[0, 0]
SIM_2	[4647138, 249250621]	[3979696, 243199373]	[2870617, 198022430]	[1869113, 191154276]	[2925750, 180915260]	[2489156, 171115067]	[3135921, 159138663]	[2547820, 146364022]	[2599397, 141213431]	[1787717, 135534747]	[3258288, 135006516]	[3436129, 133851895]	[868927, 115169878]	[4768282, 107349540]	[1439495, 102531392]	[2088015, 90354753]	[3757978, 81195210]	[471621, 78077248]	[1107504, 59128983]	[1254515, 63025520]	[644423, 48129895]	[776709, 51304566]	[985660, 155270560]	[35370, 59373566]	[390078, 16569]	[0, 0]
SIM_3	[4465605, 249250621]	[3923976, 243199373]	[3054786, 198022430]	[1897091, 191154276]	[2943675, 180915260]	[2868016, 171115067]	[2951650, 159138663]	[2413775, 146364022]	[2587988, 141213431]	[1739207, 135534747]	[2990861, 135006516]	[3239908, 133851895]	[836924, 115169878]	[5451362, 107349540]	[1404115, 102531392]	[1701455, 90354753]	[3088589, 81195210]	[490624, 78077248]	[1022459, 59128983]	[1078039, 63025520]	[539942, 48129895]	[741888, 51304566]	[991122, 155270560]	[32655, 59373566]	[246945, 16569]	[0, 0]
SIM_4	[4203797, 249250621]	[3727101, 243199373]	[2541014, 198022430]	[1849738, 191154276]	[2833612, 180915260]	[2283159, 171115067]	[2952692, 159138663]	[2373957, 146364022]	[2007409, 141213431]	[1654845, 135534747]	[2892571, 135006516]	[2903920, 133851895]	[793852, 115169878]	[3230003, 107349540]	[1329913, 102531392]	[1855836, 90354753]	[2625785, 81195210]	[444498, 78077248]	[920384, 59128983]	[1077186, 63025520]	[517475, 48129895]	[656000, 51304566]	[918442, 155270560]	[20165, 59373566]	[285777, 16569]	[0, 0]
SIM_5	[3879249, 249250621]	[3470006, 243199373]	[2418136, 198022430]	[1696098, 191154276]	[2622408, 180915260]	[2204839, 171115067]	[2636161, 159138663]	[2137055, 146364022]	[1871918, 141213431]	[1529530, 135534747]	[2569906, 135006516]	[2745966, 133851895]	[772227, 115169878]	[3070808, 107349540]	[1214098, 102531392]	[1534534, 90354753]	[2535814, 81195210]	[420919, 78077248]	[845692, 59128983]	[954338, 63025520]	[457502, 48129895]	[595012, 51304566]	[874253, 155270560]	[23953, 59373566]	[240764, 16569]	[0, 0]
SIM_6	[4170720, 249250621]	[3803831, 243199373]	[2590940, 198022430]	[1810913, 191154276]	[2785422, 180915260]	[2466053, 171115067]	[2770639, 159138663]	[2294089, 146364022]	[2162074, 141213431]	[1618941, 135534747]	[2703059, 135006516]	[3091040, 133851895]	[781724, 115169878]	[3979062, 107349540]	[1330516, 102531392]	[1602944, 90354753]	[2420431, 81195210]	[462423, 78077248]	[907484, 59128983]	[986770, 63025520]	[453958, 48129895]	[631109, 51304566]	[922141, 155270560]	[26593, 59373566]	[222383, 16569]	[0, 0]
VPA_1	[3634572, 249250621]	[3023710, 243199373]	[2540060, 198022430]	[1370364, 191154276]	[2231698, 180915260]	[2372321, 171115067]	[2143861, 159138663]	[1734381, 146364022]	[2410372, 141213431]	[1330212, 135534747]	[2208825, 135006516]	[2510065, 133851895]	[579426, 115169878]	[5161201, 107349540]	[1115833, 102531392]	[1268778, 90354753]	[3575818, 81195210]	[395908, 78077248]	[825498, 59128983]	[809879, 63025520]	[403568, 48129895]	[592176, 51304566]	[775008, 155270560]	[38576, 59373566]	[232002, 16569]	[0, 0]
VPA_2	[3678782, 249250621]	[3028679, 243199373]	[2364569, 198022430]	[1427928, 191154276]	[2267073, 180915260]	[2293050, 171115067]	[2301770, 159138663]	[1875227, 146364022]	[2282907, 141213431]	[1346347, 135534747]	[2408159, 135006516]	[2622061, 133851895]	[630676, 115169878]	[4724093, 107349540]	[1101008, 102531392]	[1428408, 90354753]	[3916051, 81195210]	[374567, 78077248]	[833808, 59128983]	[900336, 63025520]	[458393, 48129895]	[619939, 51304566]	[778168, 155270560]	[38937, 59373566]	[267652, 16569]	[0, 0]
VPA_3	[5084985, 249250621]	[4051245, 243199373]	[3328783, 198022430]	[1819827, 191154276]	[2963796, 180915260]	[2989868, 171115067]	[3078390, 159138663]	[2441477, 146364022]	[3199011, 141213431]	[1831925, 135534747]	[3182247, 135006516]	[3356945, 133851895]	[808129, 115169878]	[6497655, 107349540]	[1466801, 102531392]	[1941627, 90354753]	[4852718, 81195210]	[507041, 78077248]	[1125736, 59128983]	[1194946, 63025520]	[589126, 48129895]	[829795, 51304566]	[1020568, 155270560]	[52527, 59373566]	[327537, 16569]	[0, 0]
VPA_4	[4778097, 249250621]	[4156946, 243199373]	[2903183, 198022430]	[2037363, 191154276]	[3124501, 180915260]	[2510926, 171115067]	[3210864, 159138663]	[2603717, 146364022]	[2387190, 141213431]	[1830939, 135534747]	[3294065, 135006516]	[3311667, 133851895]	[878436, 115169878]	[3975067, 107349540]	[1456928, 102531392]	[1964735, 90354753]	[3252138, 81195210]	[489731, 78077248]	[1042136, 59128983]	[1201917, 63025520]	[592333, 48129895]	[724164, 51304566]	[1040162, 155270560]	[31693, 59373566]	[341508, 16569]	[0, 0]
